SK_ID_CURR,EXT_SOURCE_3,EXT_SOURCE_2,EXT_SOURCE_1,CC_CNT_DRAWINGS_CURRENT_MAX,BURO_DAYS_CREDIT_MEAN,CC_AMT_BALANCE_MEAN,CC_AMT_TOTAL_RECEIVABLE_MEAN,CC_AMT_RECIVABLE_MEAN,CC_CNT_DRAWINGS_CURRENT_MEAN,BURO_MONTHS_BALANCE_SIZE_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,DAYS_BIRTH,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_DAYS_CREDIT_MIN,DAYS_EMPLOYED,PREV_CODE_REJECT_REASON_XAP_MEAN,BURO_MONTHS_BALANCE_MIN_MIN,CC_CNT_DRAWINGS_POS_CURRENT_MAX,BURO_DAYS_CREDIT_UPDATE_MEAN,TARGET
129455.0,0.4866603577241442,0.5445769904801485,7.0,-40.0,28163.9175,27217.912499999995,27217.912499999995,2.1666666666666665,22.4843137254902,0.0,-21454.0,0.0,1.0,-40.0,-2997.0,1.0,-56.4,6.0,-40.0,-40.0,0.1963339662134567
228843.0,0.7092863613178818,0.45781255053820286,4.6,-860.6666666666667,39770.99400268697,39555.42193999105,39555.42193999105,0.7000208986415883,20.4,0.54,-8854.0,0.0,0.45999999999999996,-1066.6,-786.0,1.0,-46.2,3.8,-341.84,,0.38218226470066935
333039.0,0.1285594946546265,0.4805444272808316,6.0,-1089.0,44334.73285714286,43440.499285714286,43440.499285714286,1.2857142857142858,38.48444444444444,0.5,-15337.0,0.0,0.5,-1222.0,-646.0,1.0,-56.0,4.0,-545.0,-545.0,0.5602843280409464
126208.0,0.5317382171189948,0.0629306065887999,5.2,-440.6666666666667,50271.914706818185,49308.38659772727,49308.38659772727,0.7145454545454546,21.457142857142856,0.6666666666666666,-9150.0,0.0,0.3333333333333333,-651.0,-142.0,1.0,-29.8,1.2,-211.33333333333331,-211.33333333333331,0.4170996682522097
390740.0,0.6429072592951223,0.5608469214741157,6.4,-738.6666666666666,50922.01173858234,50577.170575466895,50577.170575466895,1.5326612903225807,27.402857142857147,0.5,-23057.0,0.0,0.5,-1466.0,-2658.6,1.0,-55.6,5.6,-529.8333333333334,-529.8333333333334,0.6626377922738201
280509.0,0.0666053113684795,0.5450976802139905,1.2,-362.3333333333333,17402.843551630434,17323.937029891305,17323.937029891305,0.06594202898550723,12.666666666666666,0.3333333333333333,-19111.0,0.0,0.6666666666666666,-497.0,-5993.6,1.0,-16.0,5.6,-191.66666666666663,-191.66666666666663,0.633031641417419
326562.0,0.6347237012634794,0.2022676263832266,1.0,-272.0,0.0,0.0,0.0,0.0909090909090909,6.571428571428571,0.4285714285714285,-11469.0,0.0,0.5714285714285714,-445.0,-798.0,1.0,-14.0,1.0,-124.0,-124.0,0.5298898341969072
253793.0,0.5879687062300071,0.5093122107463749,0.0,-1368.0,0.0,0.0,0.0,0.0,32.44758241758242,0.625,-14681.0,0.0,0.375,-2677.0,-2635.0,1.0,-75.0,3.6,-723.875,-723.875,0.6722428897082422
426373.0,0.6443918911581659,0.448392149455311,11.0,-1733.0,393507.5969117647,392927.8486764706,392927.8486764706,2.794117647058824,41.22222222222222,0.6666666666666666,-13884.0,0.0,0.3333333333333333,-2789.0,-6166.0,1.0,-91.0,8.0,-732.3333333333334,-732.3333333333334,0.6058362647264226
242334.0,0.3881227753514757,0.3347332523246727,3.8,-866.8,43468.17600582918,43216.59227328932,43216.59227328932,0.8543289436817035,27.441666666666663,0.2,-15105.0,0.0,0.8,-1925.0,-8037.0,1.0,-55.0,4.2,-226.6,-226.6,0.3441550073724169
